"","HUM","TEM","NOX","CO","UV","label"
"919",80,15,3,48,225,"3"
"920",81,15,3,48,227,"3"
"925",71,17,3,45,223,"3"
"927",71,17,3,45,286,"3"
"928",73,16,3,45,286,"3"
"929",45,25,3,49,275,"3"
"940",43,25,8,48,274,"3"
"942",38,27,8,48,259,"3"
"944",41,25,8,47,270,"3"
"946",43,25,7,47,274,"3"
"947",43,25,7,47,273,"3"
"949",42,27,7,47,270,"3"
"955",39,25,7,46,274,"3"
"957",41,24,7,46,274,"3"
"960",43,25,7,46,270,"3"
"961",54,21,7,52,225,"3"
"967",57,22,7,89,216,"3"
"969",57,22,7,61,216,"3"
"982",63,19,7,210,233,"3"
"984",63,19,7,143,228,"3"
"991",64,19,7,47,223,"3"
"1020",68,17,7,45,226,"3"
"1107",72,16,7,40,223,"3"
"1110",74,16,7,46,223,"3"
"1113",75,16,7,52,223,"3"
"1115",75,16,7,48,223,"3"
"1172",72,17,13,50,225,"3"
"1175",73,16,10,48,223,"3"
"1177",74,16,99,46,224,"3"
"1181",75,15,9,44,222,"3"
"1182",75,16,9,43,222,"3"
